id,selector_a,selector_b,full_name,meta
f2ed5f0e-c3b8-4828-8479-ac886a69cb0b,+1-202-469-5294,931088993615309,Jamie Garcia,"{""high_hitter_a"":false,""lat"":-60.992889,""source"":""manual"",""selector_a_type"":""phone"",""high_hitter_b"":false,""other"":""note"",""selector_b_type"":""imei"",""table_name"":""events"",""lon"":-70.070714}"
427dba97-49c7-4b68-a807-55332ba7f7d8,214.145.96.57,+1-310-674-6913,Avery Garcia,"{""selector_a_type"":""ip"",""other"":""note"",""high_hitter_a"":true,""high_hitter_b"":true}"
63215403-b8e5-4933-8aa1-b67167fb754e,633786201884812,749985243809432,Riley Smith,"{""high_hitter_a"":true,""lon"":-126.900028,""table_name"":""sessions"",""source"":""api""}"
60e5e51a-01a7-4fc5-a097-213a7c01ff36,40.218.81.100,811033830295100,Taylor Miller,"{""high_hitter_b"":false,""table_name"":""sessions"",""selector_a_type"":""ip"",""other"":791,""source"":""api""}"
b28c3710-27da-4f02-8057-cbb6a09dadf4,911533738616970,+1-212-904-3100,Casey Johnson,"{""lat"":44.272847,""table_name"":""devices"",""source"":""etl_job"",""selector_b_type"":""phone"",""selector_a_type"":""imei""}"
740b98d7-c916-4c60-899b-47a7e7630cad,+1-305-956-8312,218692112773522,Alex Martinez,"{""selector_b_type"":""imei"",""other"":""note"",""high_hitter_b"":false,""lon"":76.94671,""source"":""manual"",""selector_a_type"":""phone""}"
252ab86b-d45b-4cc6-87e5-eda42fd4d3c2,+1-646-960-6732,239590812730658,Riley Brown,"{""source"":""etl_job"",""other"":""tag"",""high_hitter_b"":true,""selector_b_type"":""imei"",""selector_a_type"":""phone"",""lat"":80.902283,""high_hitter_a"":true,""lon"":-158.833177,""table_name"":""sessions""}"
074b70f8-911f-43b6-b4dd-eeaf5820024f,+1-305-463-5133,024546781043762,Riley Jones,"{""source"":""batch_import"",""selector_a_type"":""phone"",""lon"":62.649258,""high_hitter_b"":true,""selector_b_type"":""imei"",""other"":152}"
458ec0c3-ab83-46f0-8dcb-b1f8b2870381,992461839868128,+1-415-388-1063,Drew Martinez,"{""lon"":92.527126,""selector_a_type"":""imei"",""lat"":56.313781,""high_hitter_b"":true,""selector_b_type"":""phone"",""table_name"":""sessions"",""other"":""note"",""high_hitter_a"":false}"
a9166323-2113-40b3-b656-2a8ab7e21d4e,494489473215131,+1-718-577-4601,Riley Johnson,"{""other"":""note"",""selector_a_type"":""imei"",""table_name"":""events"",""lon"":-148.346771,""lat"":75.867162,""high_hitter_b"":false,""source"":""etl_job"",""selector_b_type"":""phone"",""high_hitter_a"":true}"
3ac78aa5-5f97-4309-88f4-93384f2f51a0,+1-718-578-6345,70.218.175.87,Riley Miller,"{""lon"":-93.214639,""selector_a_type"":""phone"",""high_hitter_b"":true,""other"":""tag""}"
a5d73806-2ec9-427f-9457-f0b8dbe63b23,174.139.157.24,+1-305-897-3699,Quinn Brown,"{""selector_b_type"":""phone"",""high_hitter_a"":false,""selector_a_type"":""ip"",""lon"":-73.415068,""other"":""tag"",""lat"":14.214712,""table_name"":""devices"",""source"":""api"",""high_hitter_b"":true}"
f1cb1fa9-5d9d-4385-a4b0-45bdd0f97ce9,+1-310-374-1939,154.57.136.21,Alex Jones,"{""source"":""etl_job"",""other"":""note"",""high_hitter_b"":true,""selector_a_type"":""phone"",""lon"":17.109498}"
8e927380-6e46-4712-a21e-ac7b2bc19179,228.174.65.19,144.224.25.39,Morgan Miller,"{""high_hitter_b"":false,""source"":""manual"",""other"":""tag"",""lat"":44.462609,""lon"":-146.422045,""selector_b_type"":""ip""}"
b6ccb34b-d6c9-44b9-a61d-6623b7c15357,525690319996501,71.44.5.96,Riley Brown,"{""selector_a_type"":""imei"",""lon"":119.26643,""high_hitter_b"":true,""high_hitter_a"":true,""lat"":18.317649,""table_name"":""sessions"",""selector_b_type"":""ip"",""source"":""api"",""other"":""misc""}"
2840b256-22b2-4d64-afd5-558df420517e,129.98.102.49,11.36.157.103,Casey Lopez,"{""lon"":98.579441,""selector_b_type"":""ip"",""selector_a_type"":""ip"",""source"":""batch_import"",""lat"":-66.348452}"
6392966f-1bf8-4141-bf7a-35185a3461ad,795132447781905,+1-415-875-2138,Avery Smith,"{""table_name"":""sessions"",""other"":""tag"",""source"":""manual"",""high_hitter_b"":true,""lat"":-57.797035,""high_hitter_a"":true}"
8bff8a93-c2f3-456c-86f3-c6a62d1487ef,649004776361744,123329176036354,Quinn Smith,"{""high_hitter_b"":true,""lon"":102.375718,""other"":69,""selector_a_type"":""imei"",""table_name"":""calls"",""source"":""etl_job"",""lat"":-10.409358,""high_hitter_a"":false}"
6039cf8f-4a30-4014-9d21-d5ecdd94f873,926412418609619,045586461383109,Avery Smith,"{""selector_b_type"":""imei"",""other"":410,""lon"":33.248779,""selector_a_type"":""imei"",""source"":""batch_import"",""high_hitter_b"":true}"
48951775-bb3a-4bec-b80d-0c5d40d0a97b,697319516831074,244112977561145,Quinn Brown,"{""table_name"":""sessions"",""lon"":90.224842,""selector_a_type"":""imei"",""high_hitter_b"":true,""high_hitter_a"":true,""selector_b_type"":""imei""}"
622ec483-916c-4f59-bbc6-4a3f25e43f3d,685887506715036,45.110.236.157,Alex Martinez,"{""high_hitter_b"":true,""selector_a_type"":""imei"",""source"":""etl_job"",""lon"":-114.941428,""selector_b_type"":""ip"",""other"":""note"",""lat"":39.314368}"
8e2971a4-b4d9-4935-9153-8c229df9c97f,+1-310-419-6661,83.215.53.240,Alex Davis,"{""other"":""note"",""selector_b_type"":""ip"",""high_hitter_a"":false,""table_name"":""events"",""selector_a_type"":""phone"",""high_hitter_b"":true}"
